type,name,barcode,variety,brand,slug,sku,unit,selectedPurchasingUnit,stockLevel,eachUnitQuantity,averageWeightPerUnit,hasShopperNotes,departments,subsAllowed,supportsBothEachAndKgPricing,adId,brandSuggestionId,brandSuggestionName,priceUnitLabel,availabilityStatus,onlineSample,onlineSampleRealProductMapId,isAgeRestricted,isTobaccoProduct,price.originalPrice,price.salePrice,price.savePrice,price.savePercentage,price.canShowSavings,price.hasBonusPoints,price.isClubPrice,price.isSpecial,price.isNew,price.canShowOriginalPrice,price.discount,price.total,price.isTargetedOffer,price.averagePricePerSingleUnit,price.isBoostOffer,price.purchasingUnitPrice,price.orderedPrice,price.isUsingOrderedPrice,price.currentPricingMatchesOrderedPricing,price.extendedListPrice,price.originalAveragePricePerSingleUnit,price.promotionStartDate,price.promotionEndDate,images.small,images.big,quantity.min,quantity.max,quantity.increment,quantity.value,quantity.quantityInOrder,quantity.purchasingQuantityString,size.cupListPrice,size.cupPrice,size.cupMeasure,size.packageType,size.volumeSize,productTag.tagType,productTag.multiBuy,productTag.bonusPoints,productTag.additionalTag.name,productTag.additionalTag.link,productTag.additionalTag.imagePath,productTag.additionalTag.linkTarget,productTag.additionalTag.altText,productTag.targetedOffer,productTag.boostOffer,id,link,positionIndex,headingText,paragraphText,products,image.src,image.alt,mobileImage.src,mobileImage.alt,productTag,content,additionalClassNames,secondaryImage.src,secondaryImage.alt,action.title,action.link,action.underlay,action.class,productTag.multiBuy.quantity,productTag.multiBuy.value,productTag.multiBuy.link,productTag.multiBuy.multiCupValue,productTag.additionalTag
Product,philips led light bulb 1w 1250lm b22 cool daylight,8718699688349,1w 1250lm b22 cool daylight,philips led,philips-led-light-bulb-1w-1250lm-b22-cool-daylight,904796,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,20.0,15.0,5.0,25.0,True,False,False,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/904796.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/904796.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,6.67,5.0,1ea,,3pack,IsSpecial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,olsent halogen round bulb screw 72w clear,9300633627553,screw 72w clear,olsent,olsent-halogen-round-bulb-screw-72w-clear,551367,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,7.6,7.2,0.4,0.0,True,False,True,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/551367.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/551367.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,3.8,3.6,1ea,,2pack,IsClubPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,sard stain remover ,9350376000816,,sard,sard-stain-remover,612388,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,18.0,16.0,2.0,0.0,True,False,True,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/612388.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/612388.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.9,0.8,100g,,2kg,IsClubPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,decor fresh seal container clips oblong,9300621031355,clips oblong,decor fresh seal,decor-fresh-seal-container-clips-oblong,634832,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,13.5,13.5,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/634832.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/634832.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,realm playing cards ,9415347074484,,realm,realm-playing-cards,276543,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,7.7,7.7,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/276543.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/276543.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,mr muscle foaming aerosol spray ,9300622010908,,mr muscle,mr-muscle-foaming-aerosol-spray,6075150,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,7.5,7.5,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/6075150.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/6075150.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,1.5,1.5,100g,,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,food guru kitchen scales ,9310676404622,,food guru,food-guru-kitchen-scales,118304,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,25.0,25.0,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/118304.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/118304.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,olsent halogen round bulb rd bayonet clear 28w,9348641004966,rd bayonet clear 28w,olsent,olsent-halogen-round-bulb-rd-bayonet-clear-28w,565591,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,7.9,7.5,0.4,0.0,True,False,True,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/565591.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/565591.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,7.9,7.5,1ea,,2pack,IsClubPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,filta hoover vacuum bags fo27,9415963200199,fo27,filta hoover,filta-hoover-vacuum-bags-fo27,633658,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,Low Stock,,0.0,False,False,13.7,13.7,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/633658.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/633658.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,2.74,2.74,1ea,,5pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,bonds comfy tops tights small - medium black semi opaque,9326489959815,black semi opaque,bonds comfy tops,bonds-comfy-tops-tights-small-medium-black-semi-opaque,828673,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,Low Stock,,0.0,False,False,9.5,9.5,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/828673.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/828673.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,1pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
